경도,?�도
126.9052207,37.57409701
126.9037011,37.57266723
126.9068724,37.57059762
126.92189,37.56391799
126.9277817,37.56249562
126.9303424,37.5605472
126.928814,37.55820285
126.928721,37.55603453
126.9389816,37.55231
126.9431448,37.55364608
126.9591677,37.55468176
126.9608069,37.55386236
126.9635823,37.55605635
126.9651969,37.55362534
126.9638015,37.55254526
126.9644857,37.54870569
126.9660419,37.54689414
126.9640186,37.54584597
126.9623131,37.54351156
126.9605978,37.54266195
126.9592644,37.53897908
126.9534078,37.53349473
126.9471786,37.53213496
126.9456673,37.52661754
126.9368034,37.53344577
126.9313256,37.53415416
126.908292,37.53920607
126.9028113,37.5413363
126.8918466,37.54737397
126.8799792,37.5551074
126.8683741,37.56309561
126.860493,37.56682562
126.8595039,37.56827715
126.859842,37.57184786
126.8599348,37.57282621
126.8638133,37.57306147
126.8656052,37.5738554
126.8676629,37.57269227
126.8700812,37.57459829
126.8728227,37.57495643
126.8779662,37.57680133
126.8791887,37.57968892
126.8787632,37.58132734
126.8810718,37.58378802
126.8823782,37.58684744
126.8843328,37.58814332
126.8915004,37.58202374
126.8953231,37.57942032
126.8973857,37.57866865
126.9002358,37.57550608
126.9037319,37.57312371
126.9052207,37.57409701
